Id,BedroomAbvGr,BsmtFinSF1,BsmtFinSF2,BsmtFullBath,BsmtHalfBath,BsmtUnfSF,EnclosedPorch,Fireplaces,FirstFlrSF,FullBath,GarageArea,GarageCars,GarageYrBlt,GrLivArea,HalfBath,KitchenAbvGr,LotArea,LotFrontage,LowQualFinSF,MasVnrArea,MiscVal,MoSold,OpenPorchSF,PoolArea,ScreenPorch,SecondFlrSF,Threeseasonporch,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,MSSubClass,MSZoning,Street,Alley,LandContour,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,Foundation,Heating,GarageType,MiscFeature,SaleType,SaleCondition,ExterQual,ExterCond,BsmtQual,BsmtCond,HeatingQC,KitchenQual,FireplaceQu,GarageQual,GarageCond,PoolQC,LotShape,LandSlope,BsmtExposure,BsmtFinType1,BsmtFinType2,Functional,GarageFinish,PavedDrive,Utilities,CentralAir,Electrical,Fence,OverallQual,OverallCond
1,3.0,706.0,0.0,1.0,0.0,150.0,0.0,0.0,856.0,2.0,548.0,2.0,2003.0,1710.0,1.0,1.0,8450.0,65.0,0.0,196.0,0.0,2.0,61.0,0.0,0.0,854.0,0.0,8.0,856.0,0.0,2003.0,2003.0,2008.0,5.0,4.0,1.0,1.0,3.0,4.0,5.0,2.0,2.0,0.0,5.0,1.0,1.0,13.0,14.0,1.0,2.0,1.0,1.0,1.0,9.0,4.0,2.0,4.0,2.0,4.0,0.0,2.0,3.0,5.0,5.0,3.0,3.0,0.0,3.0,2.0,6.0,7.0,2.0,2.0,0.0,1.0,5.0,4.0,6.0,4.0
2,3.0,978.0,0.0,0.0,1.0,284.0,0.0,1.0,1262.0,2.0,460.0,2.0,1976.0,1262.0,0.0,1.0,9600.0,80.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,1262.0,298.0,1976.0,1976.0,2007.0,0.0,4.0,1.0,1.0,3.0,2.0,24.0,1.0,2.0,0.0,2.0,1.0,1.0,8.0,8.0,2.0,1.0,1.0,1.0,1.0,9.0,4.0,3.0,4.0,2.0,4.0,0.0,4.0,5.0,5.0,5.0,3.0,3.0,0.0,1.0,0.0,6.0,7.0,2.0,2.0,0.0,1.0,5.0,4.0,5.0,7.0
3,3.0,486.0,0.0,1.0,0.0,434.0,0.0,1.0,920.0,2.0,608.0,2.0,2001.0,1786.0,1.0,1.0,11250.0,68.0,0.0,162.0,0.0,9.0,42.0,0.0,0.0,866.0,0.0,6.0,920.0,0.0,2001.0,2002.0,2008.0,5.0,4.0,1.0,1.0,3.0,4.0,5.0,2.0,2.0,0.0,5.0,1.0,1.0,13.0,14.0,1.0,2.0,1.0,1.0,1.0,9.0,4.0,2.0,4.0,2.0,4.0,0.0,2.0,5.0,5.0,5.0,3.0,0.0,0.0,2.0,2.0,6.0,7.0,2.0,2.0,0.0,1.0,5.0,4.0,6.0,4.0
4,3.0,216.0,0.0,1.0,0.0,540.0,272.0,1.0,961.0,1.0,642.0,3.0,1998.0,1717.0,0.0,1.0,9550.0,60.0,0.0,0.0,0.0,2.0,35.0,0.0,0.0,756.0,0.0,7.0,756.0,0.0,1915.0,1970.0,2006.0,6.0,4.0,1.0,1.0,3.0,0.0,6.0,2.0,2.0,0.0,5.0,1.0,1.0,14.0,16.0,2.0,0.0,1.0,5.0,1.0,9.0,0.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,5.0,5.0,3.0,0.0,0.0,3.0,0.0,6.0,7.0,3.0,2.0,0.0,1.0,5.0,4.0,6.0,4.0
5,4.0,655.0,0.0,1.0,0.0,490.0,0.0,1.0,1145.0,2.0,836.0,3.0,2000.0,2198.0,1.0,1.0,14260.0,84.0,0.0,350.0,0.0,12.0,84.0,0.0,0.0,1053.0,0.0,9.0,1145.0,192.0,2000.0,2000.0,2008.0,5.0,4.0,1.0,1.0,3.0,2.0,15.0,2.0,2.0,0.0,5.0,1.0,1.0,13.0,14.0,1.0,2.0,1.0,1.0,1.0,9.0,4.0,2.0,4.0,2.0,4.0,0.0,2.0,5.0,5.0,5.0,3.0,0.0,0.0,0.0,2.0,6.0,7.0,2.0,2.0,0.0,1.0,5.0,4.0,7.0,4.0
6,1.0,732.0,0.0,1.0,0.0,64.0,0.0,0.0,796.0,1.0,480.0,2.0,1993.0,1362.0,1.0,1.0,14115.0,85.0,0.0,0.0,700.0,10.0,30.0,0.0,0.0,566.0,320.0,5.0,796.0,40.0,1993.0,1995.0,2009.0,4.0,4.0,1.0,1.0,3.0,4.0,11.0,2.0,2.0,0.0,0.0,1.0,1.0,13.0,14.0,2.0,5.0,1.0,1.0,3.0,9.0,4.0,3.0,4.0,2.0,4.0,0.0,4.0,3.0,5.0,5.0,3.0,0.0,0.0,3.0,2.0,6.0,7.0,3.0,2.0,0.0,1.0,5.0,2.0,4.0,4.0
7,3.0,1369.0,0.0,1.0,0.0,317.0,0.0,1.0,1694.0,2.0,636.0,2.0,2004.0,1694.0,0.0,1.0,10084.0,75.0,0.0,186.0,0.0,8.0,57.0,0.0,0.0,0.0,0.0,7.0,1686.0,255.0,2004.0,2005.0,2007.0,0.0,4.0,1.0,1.0,3.0,4.0,21.0,2.0,2.0,0.0,2.0,1.0,1.0,13.0,14.0,3.0,2.0,1.0,1.0,1.0,9.0,4.0,2.0,4.0,0.0,4.0,0.0,2.0,2.0,5.0,5.0,3.0,3.0,0.0,0.0,2.0,6.0,7.0,2.0,2.0,0.0,1.0,5.0,4.0,7.0,4.0
8,3.0,859.0,32.0,1.0,0.0,216.0,228.0,2.0,1107.0,2.0,484.0,2.0,1973.0,2090.0,1.0,1.0,10382.0,0.0,0.0,240.0,350.0,11.0,204.0,0.0,0.0,983.0,0.0,7.0,1107.0,235.0,1973.0,1973.0,2009.0,5.0,4.0,1.0,1.0,3.0,0.0,14.0,4.0,2.0,0.0,5.0,1.0,1.0,6.0,6.0,3.0,1.0,1.0,1.0,3.0,9.0,4.0,3.0,4.0,2.0,4.0,0.0,4.0,5.0,5.0,5.0,3.0,0.0,0.0,2.0,0.0,1.0,7.0,2.0,2.0,0.0,1.0,5.0,4.0,6.0,5.0
9,2.0,0.0,0.0,0.0,0.0,952.0,205.0,2.0,1022.0,2.0,468.0,2.0,1931.0,1774.0,0.0,2.0,6120.0,51.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,752.0,0.0,8.0,952.0,90.0,1931.0,1950.0,2008.0,4.0,5.0,1.0,1.0,3.0,4.0,17.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,16.0,2.0,0.0,1.0,5.0,1.0,9.0,0.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,1.0,5.0,3.0,3.0,0.0,3.0,6.0,6.0,2.0,3.0,2.0,0.0,1.0,1.0,4.0,6.0,4.0
10,2.0,851.0,0.0,1.0,0.0,140.0,0.0,2.0,1077.0,1.0,205.0,1.0,1939.0,1077.0,0.0,2.0,7420.0,50.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,991.0,0.0,1939.0,1950.0,2008.0,15.0,4.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,8.0,2.0,0.0,1.0,1.0,1.0,9.0,4.0,3.0,4.0,4.0,4.0,0.0,4.0,5.0,2.0,5.0,3.0,3.0,0.0,3.0,2.0,6.0,7.0,2.0,2.0,0.0,1.0,5.0,4.0,4.0,5.0
